"newID","pop","blue_brightness","green_brightness","yellow_brightness","red_brightness","total_brightness","chroma","hue_radians","hue_degrees","modified_hue","rgb"
"129-001","129",0.192715288448092,0.108403917876753,0.177174570673464,0.52170622300169,135.819530382017,0.413594377779169,6.24560167976104,357.846616770125,87.846616770125,"#D860A2FF"
"129-002","129",0.180222806655399,0.0841110734371391,0.165122208802338,0.570543911105123,120.852297059375,0.486667169241205,6.25215173242001,358.221907143072,88.2219071430723,"#CF4B93FF"
"129-003","129",0.159473857511377,0.0938903538585637,0.174009940993469,0.57262584763659,116.749105176588,0.478956126097045,0.030354170515514,1.7391658611594,91.7391658611594,"#CF5289FF"
"129-004","129",0.160760306901517,0.0648433745143331,0.156032036631578,0.618364281952571,108.518640669766,0.553541101916557,6.27464334389289,359.510581554917,89.5105815549169,"#C93683FF"
"129-005","129",0.170645167014652,0.0790013869555903,0.155470115167737,0.594883330862021,115.371329842977,0.516105088375647,6.25377804186092,358.315087810219,88.315087810219,"#CA458CFF"
"129-006","129",0.186202046384419,0.0899880395068595,0.133221620162389,0.590588293946332,108.334069357934,0.503396007440993,6.1777440154924,353.958658999917,83.9586589999165,"#B7498EFF"
"129-007","129",0.151199649841397,0.0770470879276142,0.156163200547404,0.615590061683584,110.944331010245,0.538565846872539,0.00921636788528389,0.528058982266678,90.5280589822667,"#C84383FF"
"129-008","129",0.178325159778979,0.0864384956796345,0.165025510160457,0.57021083438093,119.123866348952,0.483955118138548,6.25570068370213,358.425247073236,88.4252470732355,"#CE4A93FF"
"129-009","129",0.146863435746215,0.0640359949869403,0.15152816781412,0.637572401452725,107.235978470201,0.573555375937626,0.00813310046526639,0.46599233101565,90.4659923310157,"#C6377FFF"
"129-010","129",0.18078149967445,0.0920798335550783,0.169700414824045,0.557438251946427,122.155550031287,0.465490330736482,6.25937787022539,358.635934341501,88.6359343415008,"#D05294FF"
"129-011","129",0.187272476430858,0.0970720138725017,0.168965640281663,0.546689869414978,126.394663435768,0.449990395755741,6.24249135019885,357.668408013317,87.6684080133169,"#D2549BFF"
"129-012","129",0.174245229988137,0.0896102638489377,0.164303350385459,0.571841155777466,120.005330392843,0.482333364075323,6.26257179698782,358.818932865062,88.8189328650616,"#CE4C93FF"
"129-013","129",0.168052383734961,0.0883058618611326,0.165027742291363,0.578614012112544,119.25474266788,0.490317479454713,6.27701652724898,359.646554945231,89.646554945231,"#CE4D8FFF"
"129-014","129",0.165434044534871,0.0785154826606452,0.158746350638609,0.597304122165875,115.88542235995,0.518831743178208,6.27029504132527,359.261442169746,89.2614421697459,"#CC458BFF"
"129-015","129",0.192691798554661,0.104423571035516,0.172499046462124,0.530385583947698,132.737156999417,0.426440363569478,6.2358157158488,357.285922339486,87.2859223394861,"#D55D9EFF"
"129-016","129",0.175624074318833,0.0873493988033261,0.173875771437966,0.563150755439875,123.311469019032,0.475804568641521,6.27951088509499,359.789471122403,89.7894711224033,"#D44E92FF"
"129-017","129",0.231859765097744,0.117006659931062,0.131447514227595,0.519686060743598,117.353894890148,0.415010023931414,6.03880881764283,345.998258537321,75.998258537321,"#B25BA3FF"
"129-018","129",0.176967092256594,0.0787755590281163,0.164252568422366,0.580004780292924,119.968569016973,0.501390457992628,6.25782406083845,358.546907621462,88.5469076214616,"#D14591FF"
"129-019","129",0.183818424556805,0.0879764119070414,0.129808331440905,0.598396832095248,105.192325878061,0.513270002536183,6.17776268990188,353.959728964765,83.9597289647647,"#B5448CFF"
"129-020","129",0.254986570654223,0.178846763669931,0.134932788990545,0.4312338766853,130.594133348368,0.279485536849374,5.83918785630318,334.560819950215,64.5608199502149,"#A67EB8FF"
"129-021","129",0.210139212950552,0.111727580441997,0.0982724077319934,0.579860798875458,89.0101143201517,0.481313715066044,6.04862049903788,346.560426471184,76.5604264711843,"#904C8DFF"
"129-022","129",0.252863541329495,0.155550055596512,0.136828508059726,0.454757895014267,133.230820328343,0.320919709763918,5.91323372281806,338.803335591907,68.8033355919067,"#B274B4FF"
"129-023","129",0.192720487042622,0.132986706626647,0.120839241635642,0.553453564695089,84.9808432841724,0.426566867179351,6.11386634993757,350.298738358476,80.2987383584765,"#8F5884FF"
"129-024","129",0.248477087820429,0.129692012242075,0.123004459715817,0.498826440221679,121.348198144635,0.389876398776981,5.95552712531463,341.226569056208,71.2265690562082,"#AC62AAFF"
"129-025","129",0.245701032709421,0.181494607823348,0.160933296274747,0.411871063192485,152.869289253709,0.245476842754477,5.93060698738665,339.798750328051,69.7987503280511,"#C18BC2FF"
"129-026","129",0.248848923408712,0.182091566993416,0.157957254805099,0.411102254792773,152.552612471638,0.246388292229731,5.90536428223718,338.352449859493,68.3524498594933,"#BE8BC0FF"
"129-027","129",0.251800567650086,0.143682910858087,0.122549459650296,0.481967061841532,122.982762418234,0.362135355531276,5.91822329818651,339.089217202081,69.0892172020812,"#A869AEFF"
"129-028","129",0.241713503570426,0.158532031227797,0.135005867146315,0.464748598055463,126.009238208472,0.324276279537901,5.94787314904183,340.788028519284,70.7880285192835,"#AC72AEFF"
"129-029","129",0.26506846668424,0.163647405915198,0.128411287621478,0.442872839779084,125.142253894522,0.310873008648013,5.8280413161204,333.922170241569,63.9221702415687,"#A275B5FF"
"129-030","129",0.243972113975334,0.191872282190454,0.162808542951256,0.401347060882955,154.267618494867,0.224649077829518,5.91353383232026,338.820530599775,68.8205305997745,"#BF91C2FF"
"129-031","129",0.241824756002832,0.167037245419107,0.141133264372429,0.450004734205632,131.3162973756,0.300348757608397,5.94131625055661,340.412345909385,70.4123459093847,"#AF79B3FF"
"129-032","129",0.274313655455042,0.185789163430415,0.142045239379342,0.397851941735202,145.232072178316,0.249931102173219,5.72550486603917,328.04726440566,58.0472644056603,"#AD88C3FF"
"129-033","129",0.244181036196774,0.173610866455856,0.142538215718183,0.439669881629186,138.318777348522,0.284813381900931,5.91826467140878,339.091587713102,69.0915877131021,"#B27FB9FF"
"129-034","129",0.257195525220078,0.201590784374075,0.161494141740549,0.379719548665298,159.020540399433,0.202209325867563,5.79017620623587,331.752659254386,61.7526592543859,"#BB97C6FF"
"129-035","129",0.242283428709282,0.136442571391174,0.11222263903355,0.509051360865994,104.871861783454,0.394655696785142,5.94735301643612,340.758227116189,70.758227116189,"#975EA1FF"
"129-036","129",0.250163559838404,0.190171929723868,0.148388601368353,0.411275909069374,146.41533752637,0.243403187846829,5.85179601460055,335.283214208087,65.283214208087,"#B38AC1FF"
"129-037","129",0.23949775631682,0.177163051865191,0.136356267771132,0.446982924046856,133.088555203278,0.28886143751555,5.91806448038557,339.080117612376,69.0801176123757,"#AA7EB5FF"
"129-038","129",0.262828483164587,0.191635239358214,0.165833199161576,0.379703078315623,171.472396898078,0.211607176553477,5.80702019207166,332.717748552955,62.717748552955,"#C898CCFF"
"129-039","129",0.256648989232377,0.174566409627159,0.140079477843451,0.428705123297013,136.90229461562,0.279597812529391,5.85313278955484,335.359805771127,65.3598057711267,"#AE7FBAFF"
"129-040","129",0.250606899335138,0.17384385005652,0.140976045723145,0.434573204885197,136.036950202831,0.282840450666223,5.88515139973917,337.194337000563,67.1943370005633,"#AF7EB9FF"
"129-041","129",0.258108646331545,0.161188787022986,0.132418482109783,0.448284084535686,129.924817024385,0.313403457600582,5.87052354903107,336.356222891642,66.3562228916418,"#AB75B4FF"
"129-042","129",0.235527339009811,0.17997948561368,0.150195306732279,0.43429786864423,137.343348889641,0.268252484946342,5.95945698905928,341.451733662838,71.4517336628382,"#B383B6FF"
"129-043","129",0.237278176703198,0.135561503544586,0.112482314265385,0.514678005486831,103.938848648909,0.399128211639471,5.96518146264678,341.779721839336,71.779721839336,"#985D9EFF"
"129-044","129",0.25887131287192,0.151923910395514,0.126022962731466,0.4631818140011,123.515944575582,0.338423058747457,5.87978158283554,336.886669155227,66.8866691552274,"#A66DB0FF"
"129-045","129",0.252497514803116,0.181759399121796,0.151908260911202,0.413834825163886,139.410101355247,0.252937149053178,5.87419318745574,336.566477685714,66.5664776857142,"#B187B9FF"
"129-046","129",0.237384780194278,0.136860482784956,0.123418621227124,0.502336115793642,112.774544721452,0.382832500857524,5.980911215145,342.680970270269,72.6809702702691,"#A363A4FF"
"129-047","129",0.272848488589638,0.173567133520006,0.141409985612885,0.41217439227747,144.486643351029,0.272414214013369,5.77968429097718,331.151516791054,61.151516791054,"#B182C1FF"
"129-048","129",0.257560852417066,0.207117865643395,0.164778728391181,0.370542553548358,165.524319115615,0.187925919328839,5.76682704115414,330.414850640048,60.4148506400485,"#BE9DCBFF"
"129-049","129",0.25693398224119,0.169017827006195,0.139705508370766,0.434342682381849,131.420869056707,0.290068602172142,5.86714631244185,336.162721488662,66.1627214886621,"#AB7BB6FF"
"129-050","129",0.229731516374078,0.140799961223001,0.133878906560328,0.495589615842593,125.119050057354,0.36750975746665,6.01931742394033,344.88148394134,74.8814839413396,"#B26AAAFF"
"129-051","129",0.247575249783228,0.168395388185184,0.144689353321309,0.43934000871028,137.749792061532,0.289821488303164,5.92027394114734,339.206710389025,69.2067103890251,"#B47DB9FF"
"129-052","129",0.184094468001769,0.0975953872049439,0.162278294979637,0.55603184981365,125.060588080139,0.458955265417573,6.23563296664496,357.275451581397,87.2754515813972,"#CF5299FF"
"129-053","129",0.227930506634361,0.134123637837696,0.189758191829579,0.448187663698363,152.171459603045,0.316375311864509,6.16223546673119,353.070084609526,83.0700846095265,"#DF75B5FF"
"129-054","129",0.205060503464915,0.11405722621171,0.17696458217985,0.503917688143525,134.880694828375,0.390871539729545,6.2112430729434,355.878013609525,85.8780136095249,"#D661A7FF"
"129-055","129",0.196784079134806,0.0941216795541956,0.168688407543301,0.540405833767698,128.512366472908,0.447167656549799,6.22031360931928,356.397717061783,86.3977170617828,"#D4519FFF"
"129-056","129",0.197443269375883,0.119157786311448,0.181112644176646,0.502286300136023,139.356743990353,0.383476397480765,6.2405866873082,357.559278868287,87.5592788682874,"#D966A8FF"
"129-057","129",0.143273502095576,0.0653682602584249,0.141075256929163,0.650282980716836,102.746319601435,0.584918851201389,6.27942709296466,359.784670186979,89.7846701869785,"#C0337DFF"
"129-058","129",0.177641882207058,0.0899159457076548,0.164647682412855,0.567794489672432,122.238711952787,0.478055176742379,6.25600057822511,358.442429763701,88.4424297637015,"#D04C96FF"
"129-059","129",0.202502199251602,0.0902141429281168,0.175638142717486,0.531645515102795,133.408560463372,0.44224804564123,6.22240356916059,356.517462940042,86.5174629400418,"#DA52A1FF"
"129-060","129",0.193652594336742,0.0998586315453716,0.166437438458469,0.540051335659417,126.275507447634,0.441033197690054,6.22143835133512,356.462160032332,86.4621600323317,"#D0549DFF"
"129-061","129",0.195888649529294,0.09836505179582,0.161739092517455,0.544007206157431,125.84913361011,0.446948679367288,6.20670477822118,355.617988475755,85.6179884757551,"#CE549CFF"
"129-062","129",0.196822651033143,0.100419053648762,0.171674432653108,0.531083862664987,131.329464326536,0.431398436034104,6.22485759550738,356.658068292526,86.6580682925264,"#D558A0FF"
"129-063","129",0.187752496541085,0.0961688114624807,0.163262757909312,0.552815934087122,123.862203461647,0.457303336855983,6.22960717346271,356.930199063835,86.9301990638351,"#CE5498FF"
"129-064","129",0.194269948259096,0.107438910154226,0.174682820984774,0.523608320601905,131.666864222682,0.416630092224781,6.23615473926244,357.305346950244,87.3053469502439,"#D55CA1FF"
"129-065","129",0.2097526961094,0.122357298931499,0.179133657925297,0.488756347033803,143.617233823165,0.367676199868299,6.1998115667494,355.223036551131,85.223036551131,"#DA69AEFF"
"129-066","129",0.178300769666128,0.0840479529209758,0.158029753549297,0.579621523863599,118.203900273667,0.495987982022984,6.24230394634824,357.657670563613,87.6576705636126,"#CC4693FF"
"129-067","129",0.189337169240195,0.0883620010252446,0.168576864547311,0.553723965187249,124.349823424614,0.465824803912007,6.23860377564851,357.44566639904,87.44566639904,"#D34B99FF"
"129-068","129",0.177965701136007,0.0816580653312608,0.158961463209916,0.581414770322816,116.233750572988,0.500117911340083,6.24517664154448,357.822263874185,87.8222638741845,"#CB4590FF"
"129-069","129",0.180007806557707,0.0812708436925135,0.156369707553661,0.582351642196118,116.238404061944,0.501638043168114,6.23604602814771,357.299118262184,87.2991182621841,"#CA4591FF"
"129-070","129",0.177885316725285,0.084361301491348,0.16371189969396,0.574041482089407,120.838372132252,0.489885256994831,6.25424915340715,358.342080513498,88.3420805134979,"#D04893FF"
"129-071","129",0.159763858805917,0.0690294934394674,0.152894974962987,0.618311672791629,109.636521768905,0.549325126058428,6.27068075836552,359.283542128238,89.2835421282384,"#C83984FF"
"129-072","129",0.220199595171206,0.162103672854546,0.199441037791804,0.418255694182444,169.540438047952,0.256991781453887,6.20232203035235,355.366875520201,85.3668755202011,"#E58CC1FF"
"129-073","129",0.184957439963186,0.0957697767396326,0.171072617074983,0.548200166222198,122.504881010513,0.452643397868545,6.25250552399417,358.242177907099,88.2421779070993,"#D05298FF"
"129-074","129",0.186764016273553,0.0917733125575004,0.157598862432405,0.563863808736542,121.894973298604,0.47299053138636,6.22148498746087,356.46483208551,86.4648320855098,"#CC4E97FF"
"129-075","129",0.210413473512946,0.103539341982836,0.183927749386852,0.502119435117366,141.295342124847,0.399459114585728,6.21683266228719,356.198273488135,86.1982734881352,"#DE5FA8FF"
"129-076","129",0.184166706983558,0.0881453083633134,0.161479337172197,0.566208647480932,118.962000366255,0.478601371662519,6.23576405743409,357.282962530347,87.282962530347,"#CC4B93FF"
"129-077","129",0.195301159416815,0.0914948942232421,0.16875481006938,0.544449136290563,128.043816156853,0.453731477936518,6.22464513776612,356.645895360627,86.6458953606273,"#D4509EFF"
"129-078","129",0.180919862317141,0.0974917047359257,0.15984862927059,0.561739803676343,121.10703221235,0.464726042127934,6.23782856446801,357.401250070166,87.4012500701657,"#CB5198FF"
"129-079","129",0.178236240732455,0.0835510292065821,0.160690966549342,0.577521763511621,117.935214224517,0.49428223010343,6.24768137903751,357.965774761323,87.9657747613235,"#CC4791FF"
"129-080","129",0.180181172782316,0.0766857472400143,0.152537354954947,0.590595725022722,113.586236195803,0.51465293735555,6.22944593093358,356.920960547438,86.9209605474385,"#C7418EFF"
"129-081","129",0.249829843240504,0.143908606371342,0.143363341856173,0.462898208531981,132.334276619986,0.336287796691498,5.96104930199997,341.542966474004,71.5429664740038,"#B770B2FF"
"129-082","129",0.201445128891536,0.104039002123309,0.172863230817436,0.52165263816772,130.638759518684,0.418590580290279,6.21485086329608,356.084724770102,86.0847247701017,"#D35BA1FF"
"129-083","129",0.253231508221509,0.158791908757487,0.153658735646186,0.434317847374818,153.054725086831,0.292966346001205,5.93639829181609,340.130567629733,70.130567629733,"#C67FC1FF"
"129-084","129",0.19038205655477,0.0955833964631327,0.170453067536734,0.543581479445364,126.001009902115,0.448441129869947,6.23873007465633,357.452902799145,87.4529027991447,"#D2559AFF"
"129-085","129",0.181043529908897,0.101806740497809,0.166321466621357,0.550828262971937,116.545046471113,0.449262803704497,6.25041006009073,358.12211666931,88.1221166693101,"#C85593FF"
"129-086","129",0.208160362798599,0.120364050945448,0.177381413757646,0.494094172498307,137.995796257973,0.374995396585052,6.20101466381201,355.291968935163,85.2919689351631,"#D567AAFF"
"129-087","129",0.189208735979663,0.0943005052983948,0.167933358758136,0.548557399963806,128.434069737817,0.454754843874126,6.23638394528283,357.318479487851,87.3184794878514,"#D3539CFF"
"129-088","129",0.188891540080666,0.104744483565886,0.17056680971562,0.535797166637828,129.820037499321,0.43144201386336,6.2406993095016,357.565731644649,87.5657316446487,"#D35A9FFF"
"129-089","129",0.220384368444299,0.110436143635671,0.179307964568113,0.489871523351916,142.481506248341,0.381652300315105,6.1753486107708,353.821412419143,83.8214124191429,"#DB63ACFF"
"129-090","129",0.228075927854212,0.108036223008814,0.128932159497316,0.534955689639658,116.185202286059,0.438280410002968,6.05499941441804,346.925911400339,76.9259114003386,"#B454A1FF"
"129-091","129",0.222079254103539,0.129346290239538,0.182772283567573,0.465802172089351,147.843892744762,0.338744148826294,6.16688597430504,353.336539066101,83.3365390661013,"#DB70B3FF"
"129-092","129",0.195660042704088,0.100690950583992,0.169986147040709,0.533662859671212,130.335217305909,0.433732432470949,6.22395775087237,356.606510992723,86.6065109927228,"#D457A1FF"
"129-093","129",0.195840252747078,0.105539716048838,0.181067861058341,0.517552170145743,134.278636228327,0.412277195448839,6.24734642337655,357.946583215626,87.9465832156263,"#D85FA1FF"
"129-094","129",0.234368204579041,0.149284045195557,0.159309157349406,0.457038592875996,144.443916456458,0.316775507558605,6.04396302315552,346.293572759941,76.2935727599414,"#C877B7FF"
"129-095","129",0.188664653141821,0.0956724014741628,0.167705176485521,0.547957768898495,126.833732898063,0.452770751316678,6.23687717102298,357.346739241109,87.3467392411093,"#D2539BFF"
"129-096","129",0.236983296353416,0.146295007349958,0.149557092959692,0.467164603336935,139.394365193506,0.332566743178999,6.01717602924277,344.758791062898,74.7587910628977,"#C173B5FF"
"129-097","129",0.194830269423417,0.102538540585189,0.178138488781221,0.524492701210173,132.463186965288,0.422284180629279,6.24364764263647,357.734658689875,87.7346586898753,"#D75BA0FF"
"129-098","129",0.201468773672851,0.102064196888479,0.168930087054258,0.527536942384412,129.671192349367,0.426715154742258,6.20685733384695,355.626729269253,85.6267292692526,"#D258A1FF"
"129-099","129",0.208906387705939,0.110097737093347,0.123562028762007,0.557433846438707,106.043522019639,0.455404495287205,6.0946672460312,349.198710734208,79.1987107342082,"#A95397FF"
"129-100","129",0.223994273013741,0.148142735212816,0.168768056405286,0.459094935368156,146.426476591785,0.315818311347411,6.1074145706411,349.929078634439,79.9290786344386,"#CE79B4FF"
"129-101","129",0.21472804387113,0.128795948548703,0.19433378527441,0.462142222305756,151.052092625467,0.333969555515801,6.22208106910695,356.498985048075,86.4989850480752,"#E174B0FF"
"129-102","129",0.213157506524922,0.123574723082579,0.172408859283362,0.490858911109137,140.626610439359,0.369537720708381,6.1726913594159,353.669163131402,83.6691631314019,"#D46AACFF"
"129-103","129",0.200011314232676,0.10459748591508,0.176735922375306,0.518655277476939,133.288167183597,0.414711464296802,6.22703149771647,356.782623714181,86.7826237141814,"#D65EA2FF"
"129-104","129",0.179247516532909,0.103539336452987,0.171086790712611,0.546126356301493,124.387832219065,0.44266225001043,6.26474870420545,358.943660461024,88.9436604610239,"#CF5997FF"
"129-105","129",0.217111504806358,0.115501849413913,0.182872286849968,0.48451435892976,144.370902037747,0.370597566405189,6.19066415004537,354.698928180543,84.6989281805426,"#DC67ADFF"
"129-106","129",0.259773543497111,0.155146439948614,0.149518835932396,0.435561180621878,151.132489938286,0.301311346163789,5.90856820189302,338.536020933672,68.5360209336716,"#C37BC1FF"
"129-107","129",0.237022249641929,0.149751955519284,0.143468693429833,0.469757101408954,136.362554273834,0.333400001913316,5.9987614045484,343.703710786593,73.7037107865932,"#BB72B4FF"
"129-108","129",0.270729809740509,0.154525030638119,0.123827933087609,0.450917226533764,123.584887154781,0.330799781063994,5.82303706288869,333.635447651777,63.6354476517768,"#A26FB4FF"
"129-109","129",0.215951948034397,0.131251046293875,0.138374660227441,0.514422345444288,121.218382343432,0.390945622914618,6.08342441614597,348.554544032001,78.5545440320013,"#B564A4FF"
"129-110","129",0.238269895724415,0.140783747641856,0.154866196055327,0.466080160578403,141.632847273326,0.3358183041287,6.03219888034145,345.619537027106,75.6195370271059,"#C771B5FF"
"129-111","129",0.275334280847399,0.206311301913412,0.165600006611354,0.352754410627835,173.181519653382,0.182995068327143,5.64011287574322,323.15466375748,53.1546637574804,"#C0A1D2FF"
"129-112","129",0.259171440987718,0.176146257203317,0.167239847341755,0.397442454467211,167.208668527578,0.239631852711084,5.88945410281655,337.440863727395,67.4408637273953,"#CE8ECAFF"
"129-113","129",0.231668655079053,0.146221365734045,0.156105048121041,0.466004931065861,137.897781185369,0.328589998863071,6.05114544000172,346.705094931932,76.705094931932,"#C273B2FF"
"129-114","129",0.208357548745261,0.11795267677812,0.177616446778211,0.496073327698408,144.049959797994,0.379368214275433,6.20206400374458,355.352091684574,85.3520916845739,"#DB66ADFF"
"129-115","129",0.250704450942682,0.149936298433635,0.143772303650352,0.455586946973332,134.833644657068,0.323816001885771,5.94664334341877,340.71756584746,70.7175658474604,"#B872B6FF"
"129-116","129",0.211956888854193,0.0992118241408563,0.139758851624105,0.549072435380846,117.728618467444,0.455617302267039,6.12405251239104,350.882362476495,80.882362476495,"#BD509DFF"
"129-117","129",0.198255284626583,0.122210119978827,0.14318494671284,0.53634964868175,118.251637475895,0.417784982200429,6.15098554749153,352.42551171723,82.4255117172304,"#B9609CFF"
"129-118","129",0.218259466366067,0.123514536697877,0.128463987320428,0.529762009615629,119.717008078348,0.416053166445222,6.0656466631959,347.535953818736,77.535953818736,"#B35EA3FF"
"129-119","129",0.257286780643831,0.157402651490983,0.155876287522385,0.429434280342801,150.659457678538,0.290319298722817,5.92635415135939,339.555080772728,69.5550807727278,"#C47EBFFF"
"129-120","129",0.190226756790112,0.109755014120689,0.176853525158066,0.523164703931133,131.653956452738,0.413625936026081,6.25084796686604,358.147206879355,88.1472068793553,"#D5609FFF"
"129-121","129",0.256290911514755,0.179532599260174,0.169741373699553,0.394435115525517,164.398094765018,0.231676312973944,5.90032030262724,338.063451115894,68.0634511158937,"#CA92C8FF"
"129-122","129",0.235060601131443,0.132116244502222,0.146144252414655,0.48667890195168,132.783531388794,0.365541783010844,6.03747498177732,345.921835371664,75.9218353716639,"#C068AEFF"
"129-123","129",0.249894914635597,0.146005864861657,0.118355091759437,0.48574412874331,118.665659076983,0.364314167920507,5.91377936905463,338.834598818369,68.8345988183694,"#A268ADFF"
"129-124","129",0.239878772045269,0.147392818994805,0.14738852866843,0.465339880291496,140.273814528453,0.331126530056274,6.00009951796265,343.78037903774,73.7803790377397,"#C074B7FF"
"129-125","129",0.23833977967015,0.133801582681588,0.129927023994315,0.497931613653948,117.765529070337,0.37992631528911,5.99381156926303,343.420106115457,73.4201061154567,"#AD62A8FF"
"129-126","129",0.267289203694811,0.18515022727133,0.145337449127776,0.402223119906083,145.903855343704,0.248983676490643,5.77132704414161,330.672681819027,60.6726818190269,"#B189C3FF"
"129-127","129",0.202132870948606,0.0938862609465436,0.10978870290747,0.594192165197381,100.547656586239,0.508756762313247,6.1006641101627,349.542305739257,79.5423057392568,"#A54591FF"
"129-128","129",0.241655247908616,0.134446592462422,0.14017123018948,0.483726929439481,131.130641065567,0.363724840574885,6.00041900076975,343.798684054213,73.7986840542135,"#BA6AB0FF"
"129-129","129",0.244511555400306,0.169929271086348,0.161035712103751,0.424523461409596,149.103308149022,0.267929875453301,5.96635252848609,341.846818969461,71.8468189694605,"#C186BDFF"
"129-130","129",0.200410567801109,0.11143838005813,0.139148413267943,0.549002638872818,113.971456776341,0.441832018045425,6.14408228654677,352.029984000219,82.0299840002187,"#B75798FF"
"129-131","129",0.251563051519436,0.178814005517064,0.148334761614407,0.421288181349093,146.60280865075,0.263533310574087,5.88069734700876,336.939138577382,66.9391385773819,"#B885BEFF"
"129-132","129",0.246053808840964,0.131790305476384,0.140624428598789,0.481531457083863,131.770058103563,0.365286500360984,5.99039900459459,343.224580562639,73.2245805626395,"#BB68B1FF"
"129-133","129",0.273933556570537,0.197698974618669,0.154773304166667,0.373594164644127,155.595594625091,0.212457721975564,5.68775420837975,325.884311047932,55.8843110479323,"#B693C9FF"
"129-134","129",0.256177494578486,0.17602134815766,0.148198876282018,0.419602280981835,141.190364305522,0.266441462322796,5.86591983006509,336.092449224827,66.0924492248267,"#B384BDFF"
"129-135","129",0.264365031029173,0.172319133466651,0.144439322364106,0.41887651314007,142.880497204254,0.274176434199296,5.83047611943647,334.061674195524,64.0616741955236,"#B382C0FF"
"129-136","129",0.252383391056732,0.19190698490059,0.164283243017324,0.391426381025355,159.685155941635,0.218104620571313,5.86737068943369,336.175577343314,66.1755773433143,"#C294C7FF"
"129-137","129",0.270148752160347,0.179192121014427,0.142044638227617,0.408614488597608,142.321140725921,0.262764698454648,5.77393357343455,330.822024946689,60.8220249466892,"#AE84C1FF"
"129-138","129",0.17712508210193,0.09372766105966,0.164226633246663,0.564920623591748,118.711443445791,0.471369470715528,6.25581811461682,358.431975369031,88.4319753690314,"#CC4F93FF"
"129-139","129",0.262936718684392,0.160348824296205,0.133594462509652,0.443119994509752,127.229709725489,0.310948474729031,5.85418664296218,335.420187123592,65.4201871235924,"#A874B6FF"
"129-140","129",0.20723941408277,0.114682229169611,0.128292796584659,0.54978556016296,113.908727813597,0.442207504522369,6.10369464286217,349.715942472613,79.7159424726127,"#B2589BFF"
